date,broccoli,cabbage,carrot,cauliflower,celery,chayote_bunga,cucumber,gabi_galyang,pepper_sultan,pepper_taiwan,potato,wombok
23/10/2017,40,14,27.5,27.5,22.5,4,17.5,12.5,60,55,28.5,7
24/10/2017,32.5,13,25,27.5,22.5,6,14,12.5,55,0,28,7
25/10/2017,32.5,14,50,45,15,5.5,21.5,12,62.5,0,33.5,7
26/10/2017,27.5,13.5,35,40,17.5,3.5,17.5,12,60,0,32.5,8.5
07/11/2017,17.5,9.5,37.5,42.5,17.5,6.5,13.5,11,37.5,0,35,8.5
08/11/2017,13.5,8,20,35,17.5,7,12.5,12,50,0,35,0
09/11/2017,31.5,8,20,22,19,6.5,11.5,11.5,52.5,45,35.5,7.5
10/11/2017,25,10,32.5,32.5,17,7,11.5,12.5,47.5,0,41,8
13/11/2017,16,4,25,30,17.5,7,20,10.5,50,45,27.5,7
14/11/2017,22.5,6,25,22.5,17.5,4,17.5,10.5,42.5,45,27.5,7
15/11/2017,37.5,7.5,30,20,12.5,8,19,11,40,0,26.5,7
16/11/2017,35,15,34,22.5,12.5,6.5,21,13.5,47.5,32.5,26.5,7
17/11/2017,20,16,25,22.5,12.5,9,25,15,40,0,24,6
20/11/2017,10,11,22.5,25,17.5,14.5,24.5,12.5,40,0,26.5,5.5
21/11/2017,12.5,9.5,17.5,17,17.5,11,25.5,12,40,0,31.5,5.5
24/11/2017,16,11.5,20,16,22.5,13.5,18.5,10,52.5,0,25.5,6.5
27/11/2017,22.5,8.5,19,20,22.5,10.5,20,9.5,45,45,25,4
28/11/2017,24,9.5,16.5,22,22.5,9.5,18.5,10,42.5,45,27.5,6
29/11/2017,35,6,16,23.5,0,15,18,7.5,45,0,25,6
04/12/2017,22.5,11.5,20.5,17.5,22.5,6,28.5,12.5,37.5,50,39,7
05/12/2017,22.5,14,21.5,15,22.5,6,27.5,11.5,36.5,35,32.5,6.5
06/12/2017,20,9.5,21.5,20,27.5,7,31.5,11.5,36.5,0,32.5,7
07/12/2017,22.5,9.5,27,20,27.5,11,32.5,9,40,35,32.5,7.5
08/12/2017,20,9,17.5,17,22.5,11,32,12,40,35,32.5,7.5
11/12/2017,31.5,9,16.5,20,37.5,8,29,10,20,35,33.5,7.5
12/12/2017,27.5,12.5,17.5,19,32.5,8,27.5,10,20,35,33.5,7.5
13/12/2017,26.5,10,11.5,20,32.5,9,22,9.5,30,35,30.5,7.5
14/12/2017,18,8,16.5,20,32.5,9,27.5,9.5,30,45,28.5,6
15/12/2017,21,10.5,23.5,22.5,27.5,7.5,30,12,27.5,0,37.5,7.5
05/01/2018,12.5,8.5,16.5,12.5,22.5,6.5,23.5,14,35,0,37.5,6.5
22/01/2018,26,5,8.5,13.5,22.5,22.5,35,7,27.5,27.5,31,5
23/01/2018,17,6.5,9.5,17,19,18.5,40,8,47.5,0,42,6.5
24/01/2018,19,12,7,17,12.5,13,27.5,8,52.5,42.5,28,8
25/01/2018,19,11.5,9,17.5,17.5,13,32.5,7,55,42.5,37.5,7
26/01/2018,16.5,10.5,9.5,17.5,14.5,9,20,8.5,65,55,37.5,7
30/01/2018,15,9,16.5,18.5,15,8.5,11,9.5,75,0,37.5,7.5
31/01/2018,12.5,12.5,19,22.5,12.5,9,13.5,8.5,75,0,29,7.5
02/02/2018,11,7.5,11,22.5,8.5,7.5,17.5,11,50,0,37.5,6.5
05/02/2018,27.5,7.5,15.5,21,17.5,13,25,12.5,52.5,0,29,4
07/02/2018,22.5,6.5,12.5,25,12,10.5,20,12.5,60,0,34,4.5
08/02/2018,20,8.5,11,27.5,9,6.5,22.5,11.5,62.5,0,34.5,7
12/02/2018,32.5,12.5,16,35,9,6,20,8.5,65,0,33.5,9
13/02/2018,22.5,10.5,11,24.5,7.5,5.5,17.5,8,75,0,39,9.5
14/02/2018,22.5,9,8,20.5,8.5,4.5,16,8,80,0,38.5,9.5
15/02/2018,19,9.5,14,24.5,7.5,5,13,9,77.5,0,35,8.5
19/02/2018,22.5,15,17.5,20,17.5,6,9,5.5,70,27.5,30,9
20/02/2018,22.5,17.5,14.5,20,6.5,6,11,8,82.5,0,30,9.5
22/02/2018,26,20,17,19.5,6.5,5.5,10.5,7.5,80,40,35,12.5
23/02/2018,20,18,17,10.5,9,6,9,7.5,77.5,0,35,11
26/02/2018,20,16.5,17.5,17.5,11,6,8.5,8.5,77.5,0,33.5,11
27/02/2018,12,19.5,20.5,22,9,4.5,11,7.5,0,0,32.5,11.5
02/03/2018,12,17,22.5,28,9,5,13.5,8.5,0,22.5,32.5,8.5
05/03/2018,19,15,20,27.5,11.5,4.5,10.5,10.5,0,27.5,26.5,11
06/03/2018,19.5,15,20,20,8.5,5.5,12.5,10.5,95,52.5,27,11
07/03/2018,17,11.5,21.5,20,8.5,9,11.5,8,90,52.5,32.5,11
08/03/2018,20,11,24.5,32.5,9,5.5,13.5,8.5,92.5,27.5,27.5,9.5
09/03/2018,20,12,20,25,9,6.5,12,7,95,30,27,6.5
13/03/2018,23,11,21.5,22,12,6.5,12,9,97.5,37.5,26,9
14/03/2018,21,9.5,19,20.5,9,6.5,11.5,9.5,95,32.5,30,10.5
15/03/2018,22,11.5,20,22,14,7.5,10.5,9.5,112.5,32.5,25,10.5
16/03/2018,23,12.5,23.5,18.5,15,7.5,14,8.5,105,27.5,27.5,13
19/03/2018,24,13,22,19,0,7.5,23.5,8.5,107.5,0,27,18.5
